ID,District,Street,Date_Time,Lat,Long,Street_Lights,Police_Presence,Emergency_Services,Crowd_Level,Active_Shops,Public_Transport,Incident_Reports,Emergency_Calls,Tourist_Season,Risk_Level
TUN_0000,Montplaisir,,2024-10-30 05:41:00,36.77490802376948,10.17472816369334,False,False,False,,0.0,True,4.0,4.0,True,3.0
TUN_0001,Mutuelleville,Avenue Taieb Mehiri,2024-10-06 20:29:00,36.89014286128198,10.16658241924628,False,True,True,5.0,21.0,True,4.0,22.0,True,2.0
TUN_0002,La Marsa,Avenue du 14 Janvier,2024-10-17 12:11:00,36.84639878836228,10.135230782500571,True,False,True,2.0,32.0,False,4.0,6.0,False,2.0
TUN_0003,Cite Olympique,Avenue du Stade,2024-10-26 17:44:00,36.819731696839405,10.221453334020298,True,False,True,3.0,18.0,False,3.0,20.0,True,2.0
TUN_0004,El Menzah,Avenue Hédi Nouira,2024-10-20 14:59:00,36.73120372808849,10.195324832101726,False,,False,4.0,24.0,False,1.0,,True,3.0
TUN_0005,Montplaisir,Avenue Kheireddine Pacha,2024-10-24 19:14:00,36.73119890406724,10.273140198464802,True,False,True,1.0,28.0,True,1.0,2.0,True,2.0
TUN_0006,,,2024-10-28 16:53:00,36.71161672243364,10.106421916096412,True,False,True,4.0,14.0,False,5.0,15.0,True,3.0
TUN_0007,Lafayette,Avenue de Londres,2024-10-04 19:36:00,36.873235229154986,10.228773585511025,True,True,False,4.0,37.0,True,4.0,4.0,True,2.0
TUN_0008,Lafayette,Rue d'Algérie,2024-10-31 23:22:00,36.82022300234864,10.252589775702313,True,True,True,1.0,0.0,False,6.0,11.0,True,3.0
TUN_0009,Le Bardo,Rue du Pacha,2024-10-06 09:46:00,36.84161451555921,10.251897313837661,True,True,True,2.0,10.0,True,2.0,21.0,True,1.0
TUN_0010,Montplaisir,Rue d'Iran,2024-10-07 10:15:00,36.70411689885916,10.277214793419105,False,False,True,,15.0,True,2.0,20.0,True,3.0
TUN_0011,La Marsa,Rue de la Plage,2024-10-28 16:13:00,36.8939819704324,10.245806748565899,False,True,True,3.0,18.0,False,2.0,17.0,True,2.0
TUN_0012,Carthage,Avenue de la République,2024-10-25 16:26:00,36.86648852816008,10.28556201232954,True,True,True,4.0,33.0,True,0.0,11.0,True,1.0
TUN_0013,Mutuelleville,Avenue Louis Braille,2024-10-15 02:24:00,36.74246782213566,10.166531319964179,False,,True,2.0,23.0,False,,1.0,False,2.0
TUN_0014,El Menzah,Rue des Entrepreneurs,2024-10-13 18:53:00,36.73636499344142,10.20064188335031,True,False,True,4.0,38.0,True,2.0,12.0,False,2.0
TUN_0015,La Medina,Rue de la Kasbah,2024-10-31 20:08:00,36.736680901970686,10.102815932656577,True,False,True,1.0,29.0,False,6.0,19.0,False,4.0
TUN_0016,Mutuelleville,Rue des Orangers,2024-10-19 00:13:00,36.76084844859191,10.101391517460659,True,True,True,2.0,,True,1.0,5.0,True,1.0
TUN_0017,Mutuelleville,Rue des Jasmins,2024-10-27 09:13:00,36.80495128632645,10.148025324090304,True,True,True,3.0,37.0,False,6.0,24.0,False,3.0
TUN_0018,La Marsa,Avenue Habib Bourguiba,2024-10-26 21:47:00,36.786389003728424,10.120161439427816,False,True,True,3.0,29.0,False,7.0,0.0,False,3.0
TUN_0019,Lafayette,Avenue de Londres,2024-10-08 01:34:00,36.75824582803961,10.152042273587151,True,False,True,4.0,35.0,False,3.0,14.0,True,2.0
TUN_0020,Montplaisir,Rue d'Iran,2024-10-08 15:45:00,36.82237057894448,10.135408658905678,True,True,False,2.0,31.0,True,3.0,8.0,True,2.0
TUN_0021,Carthage,Avenue Habib Bourguiba,2024-10-18 10:33:00,36.72789877213041,10.105704004967729,True,True,False,4.0,,False,7.0,2.0,False,3.0
TUN_0022,Cite Olympique,Rue Pierre de Coubertin,2024-10-18 00:07:00,36.758428929707044,10.28186082928121,False,False,False,1.0,0.0,False,2.0,2.0,True,4.0
TUN_0023,El Menzah,Avenue Hédi Nouira,2024-10-16 03:58:00,36.77327236865874,10.101644626277778,False,True,True,5.0,11.0,False,2.0,17.0,False,3.0
TUN_0024,,,2024-10-26 02:33:00,36.79121399684341,10.247216428867418,True,True,True,4.0,20.0,True,7.0,2.0,False,2.0
TUN_0025,Cite Olympique,Rue Pierre de Coubertin,2024-10-05 07:43:00,36.8570351922786,10.130429577383904,False,False,True,1.0,36.0,,6.0,3.0,True,3.0
TUN_0026,Cite Olympique,Rue des Sports,2024-10-11 22:58:00,36.73993475643167,10.282445924399921,True,False,True,5.0,36.0,False,3.0,12.0,True,2.0
TUN_0027,Carthage,Rue des Suffetes,2024-10-05 19:24:00,36.802846887682726,10.278559187917978,False,,True,4.0,29.0,True,1.0,9.0,True,2.0
TUN_0028,Les Berges du Lac,Rue du Lac Michigan,2024-10-05 04:55:00,36.81848291377241,10.230780229273853,True,True,True,5.0,16.0,True,6.0,20.0,False,2.0
TUN_0029,La Medina,Rue Sidi Ben Arous,2024-10-20 17:17:00,36.709290082544,10.234446829960122,True,True,True,4.0,4.0,False,7.0,11.0,False,2.0
TUN_0030,Mutuelleville,Rue des Jasmins,2024-10-11 12:39:00,36.821508970380286,10.101067828393937,False,True,True,2.0,15.0,True,4.0,18.0,False,2.0
TUN_0031,El Menzah,Rue des Entrepreneurs,2024-11-01 04:25:00,36.73410482473746,10.296974313222721,False,True,True,4.0,28.0,True,4.0,8.0,True,1.0
TUN_0032,Carthage,Avenue Habib Bourguiba,2024-10-11 08:07:00,36.71301031859706,10.275566520715163,True,False,True,3.0,38.0,False,4.0,,False,2.0
TUN_0033,Mutuelleville,Avenue Louis Braille,2024-10-22 08:20:00,36.88977710745066,10.27902124514602,True,False,True,1.0,13.0,True,2.0,18.0,True,3.0
TUN_0034,Cite Olympique,Rue des Sports,2024-10-06 12:40:00,36.89312640661491,10.231848907410175,True,,True,4.0,16.0,True,3.0,23.0,True,2.0
TUN_0035,Lafayette,Avenue de la Liberté,2024-10-19 17:35:00,36.86167946962329,10.168957385730907,False,True,True,3.0,28.0,True,,12.0,False,2.0
TUN_0036,El Menzah,Rue des Entrepreneurs,2024-10-21 10:36:00,36.76092275383468,10.278729729818096,True,False,True,4.0,33.0,True,2.0,7.0,True,2.0
TUN_0037,El Menzah,Avenue Hédi Nouira,2024-10-11 00:02:00,36.71953442280128,10.158303385630239,False,True,True,3.0,26.0,True,1.0,0.0,False,2.0
TUN_0038,,,2024-10-27 22:52:00,36.83684660530243,10.212542308668441,False,True,True,5.0,19.0,False,7.0,3.0,True,2.0
TUN_0039,Montplaisir,Avenue Kheireddine Pacha,2024-10-09 14:29:00,36.78803049874792,10.119946194468776,True,True,True,5.0,16.0,True,4.0,10.0,True,1.0
TUN_0040,Montplaisir,Rue du Caire,2024-10-27 07:17:00,36.724407646968956,10.28439112602655,False,True,True,5.0,12.0,True,4.0,12.0,False,2.0
TUN_0041,Carthage,Avenue de la République,2024-10-03 18:24:00,36.799035382022254,10.128154091554242,True,True,False,4.0,20.0,False,7.0,3.0,False,3.0
TUN_0042,Montplaisir,,2024-10-04 22:39:00,36.70687770422305,10.144979361146081,False,True,True,5.0,24.0,True,5.0,7.0,False,2.0
TUN_0043,Mutuelleville,Avenue Louis Braille,2024-10-26 18:46:00,36.88186408041575,10.211626831625644,False,False,False,1.0,0.0,True,7.0,0.0,False,4.0
